#
# This data is provided by behindthename.com and is licensed under CC BY-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/4.0
#
# Given names and their genders, exported from the behindthename.com database.
# Fri, 09 Jun 2023 16:48:53 -0700
#
# name	gender
# This is just 100 random item from the givennames source file
Floriano	m
Þórr	m
Yamin	m
Huy	m
Kvetoslava	f
Glenice	f
Hrodulf	m
Marielle	f
Kyung-Sook	f
Achsah	f
Hughard	m
Gamil	m
Brannon	m
Benno	m
Jóannes	m
Züleyha	f
Ula	f
Uno	m
Rozalia	f
Federigo	m
Felice	m
Florência	f
Jaasau	m
Magaly	f
Domas	m
Idoya	f
Estefânia	f
Bárðr	m
Francisco	m
Satchel	m
Diot	f
Bilƙisu	f
Nabu-Apla-Usur	m
Stella	f
Giobbe	m
Zoilus	m
Malone	mf
Ignatios	m
Ogden	m
Laryn	f
Pedru	m
Troy	m
Georgiy	m
Oumou	f
Rowen	m
Ahmadu	m
Akoni	m
Yianni	m
Əminə	f
Domantė	f
Michalina	f
Yisra'el	m
Firuzə	f
Naci	m
Artsiom	m
Roxelana	f
Jahan	m
Corine	f
Zénaïde	f
Pierina	f
Isbel	f
Cahya	mf
Maolsheachlann	m
Dervila	f
Nádia	f
Zavanna	f
Mariabella	f
Millard	m
Melusine	f
Covadonga	f
Carly	f
Briallen	f
Amrita	f
Chlodovech	m
Dóra	f
Abednego	m
Maya	f
Svanhildur	f
Javon	m
Kama	m
Megaera	f
Andrea	mf
Penelope	f
Suki	f
Zerach	m
Ealhstan	m
Tova	f
Lena	f
Ingeborg	f
Vinzenz	m
Miłogost	m
Kgosi	m
Silvano	m
Chikondi	mf
Casimir	m
Jannick	m
Rodya	m
Koldobika	m
Oddný	f
Tetyana	f
